1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.225782	0.000000	74.842665	0.006999	401.0
1	-0.244194	0.000000	74.842665	0.004258	3.5
2	-0.255479	0.000000	74.842665	0.002501	2.9
3	-0.214262	0.999988	71.440766	0.002992	2.9
4	-0.214406	1.997150	68.343077	0.003427	2.8
5	-0.214253	1.100227	71.116733	0.001407	3.5
6	-0.208532	1.222643	70.724979	0.004442	2.8
7	-0.236380	1.894647	68.649058	0.001405	2.8
8	-0.209571	2.815541	65.994551	0.005687	2.8
9	-0.210475	1.911258	68.599288	0.005627	3.0
10	-0.214319	1.006945	71.418178	0.002776	3.5
11	-0.230349	2.006945	68.313978	0.002409	3.0
12	-0.220597	1.112140	71.078420	0.002322	2.9
13	-0.213768	1.238098	70.675826	0.002100	3.1
14	-0.239670	0.339989	73.650271	0.007409	2.6
15	-0.210751	1.339988	70.353483	0.002699	3.0
16	-0.207645	0.435682	73.321480	0.003311	3.1
17	-0.247015	1.435646	70.053521	0.004334	3.1
18	-0.213386	2.435644	67.064339	0.004582	2.9
19	-0.229812	1.531332	69.756017	0.003900	2.8
20	-0.213208	0.627020	72.672795	0.001300	2.8
21	-0.236726	1.619038	69.485534	0.002516	3.3
22	-0.215744	1.257916	70.612898	0.002804	2.8
23	-0.216846	0.493589	73.123941	0.001799	2.9
24	-0.232239	1.003278	71.430082	0.002345	2.9
25	-0.234279	0.297485	73.797257	0.001547	3.0
26	-0.203370	0.374714	73.530618	0.001736	2.7
27	-0.229411	0.000000	74.842665	0.002936	2.7
28	-0.205884	0.000000	74.842665	0.004250	2.6
29	-0.209932	0.359221	73.583956	0.002536	3.0
30	-0.221614	1.359112	70.293309	0.001706	2.8
31	-0.267461	2.287949	67.489668	0.003000	2.8
32	-0.210289	1.456011	69.989988	0.002537	3.0
33	-0.237380	2.409237	67.139991	0.002506	2.8
34	-0.210867	3.331102	64.596168	0.004184	2.9
35	-0.227448	4.330894	62.046604	0.002473	3.1
36	-0.232997	5.330891	59.690192	0.002129	3.0
37	-0.240202	5.245095	59.885321	0.002209	2.7
38	-0.194798	6.223100	57.733909	0.001881	2.7
39	-0.239534	7.120147	55.892166	0.004797	2.6
40	-0.204504	6.215864	57.749258	0.002890	2.6
41	-0.206745	5.312455	59.732015	0.001583	3.0
42	-0.196580	6.289396	57.593652	0.002548	3.0
